"initial_alias","converted_alias","name","description","namespace"
"AL356356","ENSG00000143420","ENSA","endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360]","EMBL"
"AL356356","ENSG00000143457","GOLPH3L","golgi phosphoprotein 3 like [Source:HGNC Symbol;Acc:HGNC:24882]","EMBL"
"AL356356","ENSG00000163125","RPRD2","regulation of nuclear pre-mRNA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29039]","EMBL"
"AL357033","ENSG00000101187","SLCO4A1","solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]","EMBL"
"AL357033","ENSG00000101188","NTSR1","neurotensin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8039]","EMBL"
"AL357079","ENSG00000117407","ARTN","artemin [Source:HGNC Symbol;Acc:HGNC:727]","EMBL"
"AL357079","ENSG00000117408","IPO13","importin 13 [Source:HGNC Symbol;Acc:HGNC:16853]","EMBL"
"AL357079","ENSG00000117410","ATP6V0B","ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]","EMBL"
"AL357079","ENSG00000117411","B4GALT2","beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]","EMBL"
"AL357079","ENSG00000126091","ST3GAL3","ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]","EMBL"
"AL357079","ENSG00000132768","DPH2","diphthamide biosynthesis 2 [Source:HGNC Symbol;Acc:HGNC:3004]","EMBL"
"AL357079","ENSG00000284989","None","novel transcript","EMBL"
"AL358472","ENSG00000143543","JTB","jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]","EMBL"
"AL358472","ENSG00000143545","RAB13","RAB13, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9762]","EMBL"
"AL358472","ENSG00000143552","NUP210L","nucleoporin 210 like [Source:HGNC Symbol;Acc:HGNC:29915]","EMBL"
"AL358472","ENSG00000143570","SLC39A1","solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876]","EMBL"
"AL358472","ENSG00000143578","CREB3L4","cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]","EMBL"
"AL358472","ENSG00000143614","GATAD2B","GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]","EMBL"
"AL358472","ENSG00000160741","CRTC2","CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301]","EMBL"
"AL358472","ENSG00000177954","RPS27","ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]","EMBL"
"AL358472","ENSG00000198837","DENND4B","DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044]","EMBL"
"AL358472","ENSG00000285779","None","novel protein","EMBL"
"AL359762","ENSG00000117133","RPF1","ribosome production factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:30350]","EMBL"
"AL359762","ENSG00000117151","CTBS","chitobiase [Source:HGNC Symbol;Acc:HGNC:2496]","EMBL"
"AL359762","ENSG00000122432","SPATA1","spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682]","EMBL"
"AL359762","ENSG00000174021","GNG5","G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]","EMBL"
"AL390066","ENSG00000116815","CD58","CD58 molecule [Source:HGNC Symbol;Acc:HGNC:1688]","EMBL"
"AL391903","ENSG00000112195","TREML2","triggering receptor expressed on myeloid cells like 2 [Source:HGNC Symbol;Acc:HGNC:21092]","EMBL"
"AL391903","ENSG00000124731","TREM1","triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]","EMBL"
"AL442125","ENSG00000150401","DCUN1D2","defective in cullin neddylation 1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20328]","EMBL"
"AL442125","ENSG00000150403","TMCO3","transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]","EMBL"
"AL442125","ENSG00000198176","TFDP1","transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]","EMBL"
"AL442128","ENSG00000088448","ANKRD10","ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]","EMBL"
"AL512306","ENSG00000170382","LRRN2","leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]","EMBL"
"AL512306","ENSG00000198625","MDM4","MDM4 regulator of p53 [Source:HGNC Symbol;Acc:HGNC:6974]","EMBL"
"AL513320","ENSG00000116213","WRAP73","WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]","EMBL"
"AL513320","ENSG00000158109","TPRG1L","tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]","EMBL"
"AL513320","ENSG00000162591","MEGF6","multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]","EMBL"
"AL513534","ENSG00000060339","CCAR1","cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:24236]","EMBL"
"AL513534","ENSG00000138336","TET1","tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:29484]","EMBL"
"AL590326","None","None","None",""
"AL592078","ENSG00000160710","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]","EMBL"
"AL592078","ENSG00000160714","UBE2Q1","ubiquitin conjugating enzyme E2 Q1 [Source:HGNC Symbol;Acc:HGNC:15698]","EMBL"
"AL592078","ENSG00000160716","CHRNB2","cholinergic receptor nicotinic beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1962]","EMBL"
"AL592078","ENSG00000163239","TDRD10","tudor domain containing 10 [Source:HGNC Symbol;Acc:HGNC:25316]","EMBL"
"AL592295","ENSG00000143252","SDHC","succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]","EMBL"
"AL592295","ENSG00000158887","MPZ","myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]","EMBL"
"AL592295","ENSG00000188931","CFAP126","cilia and flagella associated protein 126 [Source:HGNC Symbol;Acc:HGNC:32325]","EMBL"
"AL592295","ENSG00000248485","PCP4L1","Purkinje cell protein 4 like 1 [Source:HGNC Symbol;Acc:HGNC:20448]","EMBL"
"AL606760","ENSG00000157184","CPT2","carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330]","EMBL"
"AL606760","ENSG00000157193","LRP8","LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]","EMBL"
"AL606760","ENSG00000162384","CZIB","CXXC motif containing zinc binding protein [Source:HGNC Symbol;Acc:HGNC:26059]","EMBL"
"AL606760","ENSG00000162385","MAGOH","mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]","EMBL"
"AL627309","ENSG00000186092","OR4F5","olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]","EMBL"
"AL627309","ENSG00000186092","OR4F5","olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]","EMBL"
"AL627309","ENSG00000186092","OR4F5","olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825]","EMBL"
"AL683842","ENSG00000182022","CHST15","carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]","EMBL"
"AL731563","ENSG00000122884","P4HA1","prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]","EMBL"
"AL731569","ENSG00000062650","WAPL","WAPL cohesin release factor [Source:HGNC Symbol;Acc:HGNC:23293]","EMBL"
"AL731577","ENSG00000019995","ZRANB1","zinc finger RANBP2-type containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]","EMBL"
"AL732372","ENSG00000230178","OR4F3","olfactory receptor family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:8300]","EMBL"
"AL732372","ENSG00000284662","OR4F16","olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]","EMBL"
"AL732372","ENSG00000284733","OR4F29","olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]","EMBL"
"AL732509","ENSG00000044446","PHKA2","phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]","EMBL"
"AL732509","ENSG00000173698","ADGRG2","adhesion G protein-coupled receptor G2 [Source:HGNC Symbol;Acc:HGNC:4516]","EMBL"
"ALOX12P2","ENSG00000262943","ALOX12P2","arachidonate 12-lipoxygenase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:432]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ALOX12P2","ENSG00000291084","ALOX12P2","arachidonate 12-lipoxygenase pseudogene 2 [Source:NCBI gene (formerly Entrezgene);Acc:245]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ALOX15","ENSG00000161905","ALOX15","arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMN1","ENSG00000151743","AMN1","antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMPD3","ENSG00000133805","AMPD3","adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMT","ENSG00000145020","AMT","aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD44-IT1","ENSG00000236977","ANKRD44-IT1","ANKRD44 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41477]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"AOAH-IT1","ENSG00000230539","AOAH-IT1","AOAH intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41307]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"AOC2","ENSG00000131480","AOC2","amine oxidase copper containing 2 [Source:HGNC Symbol;Acc:HGNC:549]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AOC3","ENSG00000131471","AOC3","amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP000346","ENSG00000189269","DRICH1","aspartate rich 1 [Source:HGNC Symbol;Acc:HGNC:28031]","EMBL"
"AP000347","ENSG00000159496","RGL4","ral guanine nucleotide dissociation stimulator like 4 [Source:HGNC Symbol;Acc:HGNC:31911]","EMBL"
"AP000640","ENSG00000166889","PATL1","PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]","EMBL"
"AP000640","ENSG00000166900","STX3","syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]","EMBL"
"AP000640","ENSG00000166902","MRPL16","mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]","EMBL"
"AP000692","ENSG00000142197","DOP1B","DOP1 leucine zipper like protein B [Source:HGNC Symbol;Acc:HGNC:1291]","EMBL"
"AP000692","ENSG00000159256","MORC3","MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]","EMBL"
"AP000763","ENSG00000054967","RELT","RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]","EMBL"
"AP000769","ENSG00000142186","SCYL1","SCY1 like pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:14372]","EMBL"
"AP000769","ENSG00000168056","LTBP3","latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]","EMBL"
"AP000845","ENSG00000079134","THOC1","THO complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19070]","EMBL"
"AP000845","ENSG00000101557","USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]","EMBL"
"AP000873","ENSG00000137494","ANKRD42","ankyrin repeat domain 42 [Source:HGNC Symbol;Acc:HGNC:26752]","EMBL"
"AP000873","ENSG00000137500","CCDC90B","coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:HGNC:28108]","EMBL"
"AP000873","ENSG00000165494","PCF11","PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:HGNC:30097]","EMBL"
"AP000926","ENSG00000109971","HSPA8","heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]","EMBL"
"AP000977","ENSG00000137642","SORL1","sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]","EMBL"
"AP001273","ENSG00000166004","CEP295","centrosomal protein 295 [Source:HGNC Symbol;Acc:HGNC:29366]","EMBL"
"AP001273","ENSG00000166012","TAF1D","TATA-box binding protein associated factor, RNA polymerase I subunit D [Source:HGNC Symbol;Acc:HGNC:28759]","EMBL"
"AP001273","ENSG00000182919","C11orf54","chromosome 11 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:30204]","EMBL"
"AP001273","ENSG00000284057","None","novel protein, C11orf54-MED17 readthrough","EMBL"
"AP001453","ENSG00000002330","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]","EMBL"
"AP001453","ENSG00000110011","DNAJC4","DnaJ heat shock protein family (Hsp40) member C4 [Source:HGNC Symbol;Acc:HGNC:5271]","EMBL"
"AP001453","ENSG00000126432","PRDX5","peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]","EMBL"
"AP001453","ENSG00000149761","NUDT22","nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189]","EMBL"
"AP001453","ENSG00000149782","PLCB3","phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]","EMBL"
"AP001453","ENSG00000173113","TRMT112","tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]","EMBL"
"AP001453","ENSG00000173153","ESRRA","estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]","EMBL"
"AP001453","ENSG00000173264","GPR137","G protein-coupled receptor 137 [Source:HGNC Symbol;Acc:HGNC:24300]","EMBL"
"AP001453","ENSG00000173457","PPP1R14B","protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]","EMBL"
"AP001453","ENSG00000173486","FKBP2","FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]","EMBL"
"AP001453","ENSG00000182450","KCNK4","potassium two pore domain channel subfamily K member 4 [Source:HGNC Symbol;Acc:HGNC:6279]","EMBL"
"AP001453","ENSG00000219435","CATSPERZ","catsper channel auxiliary subunit zeta [Source:HGNC Symbol;Acc:HGNC:19231]","EMBL"
"AP001453","ENSG00000286264","None","novel protein","EMBL"
"AP001469","ENSG00000160285","LSS","lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]","EMBL"
"AP001469","ENSG00000160294","MCM3AP","minichromosome maintenance complex component 3 associated protein [Source:HGNC Symbol;Acc:HGNC:6946]","EMBL"
"AP002381","ENSG00000137478","FCHSD2","FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]","EMBL"
"AP002381","ENSG00000168010","ATG16L2","autophagy related 16 like 2 [Source:HGNC Symbol;Acc:HGNC:25464]","EMBL"
"AP002381","ENSG00000186635","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]","EMBL"
"AP002381","ENSG00000214530","STARD10","StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]","EMBL"
"AP002907","ENSG00000048392","RRM2B","ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]","EMBL"
"AP002907","ENSG00000104517","UBR5","ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]","EMBL"
"AP003108","ENSG00000011347","SYT7","synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]","EMBL"
"AP003108","ENSG00000149476","TKFC","triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]","EMBL"
"AP003108","ENSG00000149483","TMEM138","transmembrane protein 138 [Source:HGNC Symbol;Acc:HGNC:26944]","EMBL"
"AP003108","ENSG00000149532","CPSF7","cleavage and polyadenylation specific factor 7 [Source:HGNC Symbol;Acc:HGNC:30098]","EMBL"
"AP003108","ENSG00000162144","CYB561A3","cytochrome b561 family member A3 [Source:HGNC Symbol;Acc:HGNC:23014]","EMBL"
"AP003108","ENSG00000162148","SAXO4","stabilizer of axonemal microtubules 4 [Source:HGNC Symbol;Acc:HGNC:28869]","EMBL"
"AP003108","ENSG00000167985","SDHAF2","succinate dehydrogenase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:26034]","EMBL"
"AP003108","ENSG00000167986","DDB1","damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]","EMBL"
"AP003108","ENSG00000187049","TMEM216","transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018]","EMBL"
"AP003108","ENSG00000204950","LRRC10B","leucine rich repeat containing 10B [Source:HGNC Symbol;Acc:HGNC:37215]","EMBL"
"AP003108","ENSG00000256591","None","novel transcript","EMBL"
"AP006621","ENSG00000177030","DEAF1","DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]","EMBL"
"AP006621","ENSG00000177106","EPS8L2","EPS8 signaling adaptor L2 [Source:HGNC Symbol;Acc:HGNC:21296]","EMBL"
"AP006621","ENSG00000177156","TALDO1","transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]","EMBL"
"AP006621","ENSG00000177225","GATD1","glutamine amidotransferase class 1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26616]","EMBL"
"AP006621","ENSG00000177542","SLC25A22","solute carrier family 25 member 22 [Source:HGNC Symbol;Acc:HGNC:19954]","EMBL"
"AP006621","ENSG00000177595","PIDD1","p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:HGNC:16491]","EMBL"
"AP006621","ENSG00000177600","RPLP2","ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]","EMBL"
"AP006621","ENSG00000177666","PNPLA2","patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]","EMBL"
"AP006621","ENSG00000177685","CRACR2B","calcium release activated channel regulator 2B [Source:HGNC Symbol;Acc:HGNC:28703]","EMBL"
"AP006621","ENSG00000177697","CD151","CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]","EMBL"
"AP006621","ENSG00000288675","PANO1","proapoptotic nucleolar protein 1 [Source:HGNC Symbol;Acc:HGNC:51237]","EMBL"
"APAF1","ENSG00000120868","APAF1","apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOBEC3D","ENSG00000243811","APOBEC3D","apolipoprotein B mRNA editing enzyme catalytic subunit 3D [Source:HGNC Symbol;Acc:HGNC:17354]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOL2","ENSG00000128335","APOL2","apolipoprotein L2 [Source:HGNC Symbol;Acc:HGNC:619]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARAP3","ENSG00000120318","ARAP3","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARFIP1","ENSG00000164144","ARFIP1","ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF2-AS2","ENSG00000273002","ARHGEF2-AS2","ARHGEF2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:55175]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ARMT1","ENSG00000146476","ARMT1","acidic residue methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17872]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARRDC3","ENSG00000113369","ARRDC3","arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARSG","ENSG00000141337","ARSG","arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATE1-AS1","None","None","None",""
"ATG16L2","ENSG00000168010","ATG16L2","autophagy related 16 like 2 [Source:HGNC Symbol;Acc:HGNC:25464]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2A1","ENSG00000196296","ATP2A1","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP7A","ENSG00000165240","ATP7A","ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AVIL","ENSG00000135407","AVIL","advillin [Source:HGNC Symbol;Acc:HGNC:14188]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B3GALT2","ENSG00000162630","B3GALT2","beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BACE1-AS","ENSG00000278768","BACE1-AS","BACE1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:37125]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"BACH1-IT1","ENSG00000248476","BACH1-IT1","BACH1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:40006]","GENECARDS,HGNC"
"BAG6","ENSG00000204463","BAG6","BAG cochaperone 6 [Source:HGNC Symbol;Acc:HGNC:13919]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAZ2B","ENSG00000123636","BAZ2B","bromodomain adjacent to zinc finger domain 2B [Source:HGNC Symbol;Acc:HGNC:963]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BBOF1","ENSG00000119636","BBOF1","basal body orientation factor 1 [Source:HGNC Symbol;Acc:HGNC:19855]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BBS1","ENSG00000174483","BBS1","Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BBS10","ENSG00000179941","BBS10","Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:HGNC:26291]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BBS12","ENSG00000181004","BBS12","Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCDIN3D","ENSG00000186666","BCDIN3D","BCDIN3 domain containing RNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:27050]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BCL2L1-AS1","ENSG00000236559","BCL2L1-AS1","BCL2L1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40095]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"BCL6","ENSG00000113916","BCL6","BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BEND7","ENSG00000165626","BEND7","BEN domain containing 7 [Source:HGNC Symbol;Acc:HGNC:23514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BEST1","ENSG00000167995","BEST1","bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BOD1L1","ENSG00000038219","BOD1L1","biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BORCS8","ENSG00000254901","BORCS8","BLOC-1 related complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:37247]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRCA1","ENSG00000012048","BRCA1","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]","DBASS5,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRCA1P1","ENSG00000267595","BRCA1P1","BRCA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28470]","GENECARDS,HGNC"
"BRD8","ENSG00000112983","BRD8","bromodomain containing 8 [Source:HGNC Symbol;Acc:HGNC:19874]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTBD10","ENSG00000148925","BTBD10","BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21445]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTBD6P1","ENSG00000229106","BTBD6P1","BTB domain containing 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51542]","GENECARDS,HGNC"
"BTLA","ENSG00000186265","BTLA","B and T lymphocyte associated [Source:HGNC Symbol;Acc:HGNC:21087]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BX640514","None","None","None",""
"C11ORF54","ENSG00000182919","C11orf54","chromosome 11 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:30204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C11ORF65","ENSG00000166323","C11orf65","chromosome 11 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:28519]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C12ORF60","ENSG00000182993","C12orf60","chromosome 12 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:28726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C15ORF40","ENSG00000169609","C15orf40","chromosome 15 open reading frame 40 [Source:HGNC Symbol;Acc:HGNC:28443]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C16ORF54","ENSG00000185905","C16orf54","chromosome 16 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26649]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C17ORF80","ENSG00000141219","MTNAP1","mitochondrial nucleoid associated protein 1 [Source:HGNC Symbol;Acc:HGNC:29601]","UNIPROT_GN"
"C18ORF32","ENSG00000177576","C18orf32","chromosome 18 open reading frame 32 [Source:HGNC Symbol;Acc:HGNC:31690]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C18ORF54","ENSG00000166845","C18orf54","chromosome 18 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:13796]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
